date,result ranking,general classification,race name,distance,PCS point,UCI point,year
14.03,21,,Paris-Troyes (1.6) ,,,,2004
07.03,1,,Les Monts du Luberon - Trophée Luc Leblanc (1.6) ,156,15,,2004
05.07,DNF,,Tour du Jura (1.5) ,171,,,2003
29.06,3,,National Championships Great Britain - Road Race (NC) ,213,7,,2003
10.04 » 14.04,,,Circuit des Ardennes International (2.6) ,,,,2003
,2,,Mountains classification ,,,,2003
,43,,Points classification ,,,,2003
,67,,General classification ,,,,2003
14.04,107,,Stage 4b - Charleville-Mézières › Charleville-Mézières ,76,,,2003
13.04,18,45,Stage 4a (ITT) - Saint-Laurent › Gernelle ,13,,,2003
12.04,75,60,Stage 3 - Sedan › Sedan ,139,,,2003
11.04,72,64,Stage 2 - Nouzonville › Nouzonville ,132,,,2003
10.04,72,72,Stage 1 - Nouvion › Nouvion ,164,,,2003
30.03,2,,Annemasse-Bellegarde et retour (1.6) ,,10,,2003
16.03,11,,Bordeaux - Saintes (1.6) ,,,,2003
11.10,123,,World Championships U23 - Road Race (WC) ,166,,,2002
04.08,45,,European Championships U23 - Road Race (CC) ,163.8,,,2002
16.06,58,,Tour du Jura (1.5) ,193,,,2002
01.05,10,,Liège-Bastogne-Liège U23 (1.7.1) ,180,,,2002
12.10,DNF,,World Championships U23 - Road Race (WC) ,169,,,2001
27.09 » 30.09,,,Circuit Franco-Belge (2.4) ,,,,2001
29.09,DNF,,Stage 3 - Bondues › Pecq/Hérinnes ,184.3,,,2001
28.09,87,87,Stage 2 - Bray-Dunes › Komen ,186.7,,,2001
27.09,98,97,Stage 1 - Moeskroen › Mont de l'Enclus ,174.4,,,2001
26.08,68,,European Championships U23 - Road Race (CC) ,163.8,,,2001
25.07 » 29.07,,,Sachsen-Tour International (2.1) ,,,,2001
28.07,85,,Stage 4b - Radeberg › Freital ,114,,,2001
28.07,89,,Stage 4a (ITT) - Königsbrück › Königsbrück  ,29,,,2001
27.07,64,,Stage 3 - Annaberg/Buchholz › Dübeln ,160,,,2001
26.07,96,,Stage 2 - Leipzig › Annaberg/Buchholz ,184,,,2001
25.07,107,,Stage 1 - Weisswasser › Leipzig ,212,,,2001
13.10,DNF,,World Championships U23 - Road Race (WC) ,169,,,2000
25.06,19,,National Championships Great Britain - Road Race (NC) ,206,,,2000
31.03 » 02.04,,,Le Triptyque des Monts et Châteaux () ,,,,2000
,12,,General classification ,,,,2000
02.04,6,,Stage 3 - Beloeil › Frasnes-lez-Buissenal ,147,,,2000
11.10,DNF,,World Championships MJ - Road Race (WC) ,137.6,,,1998
