date,result ranking,general classification,race name,distance,PCS point,UCI point,year
23.06,17,,Omloop van de Westhoek () ,178,4,,1999
07.03,30,,Nokere Koerse (1.4) ,192,,,1999
10.09,17,,Zomergem - Adinkerke () ,165.5,4,,1998
23.08,27,,National Championships Belgium U23 - Road Race (NC) ,172,,,1998
17.06,25,,Brussel-Ingooigem () ,168,,,1998
26.04,15,,Ronde van Vlaanderen U23 (1.2) ,174,,,1998
08.03,35,,Omloop Vlaamse Ardennen/Grote Prijs Westkrediet (1.5) ,184,,,1998
02.10,9,,Omloop van het Houtland Lichtervelde () ,162,16,,1997
31.07,2,,Ronde van Vlaanderen Juniores - Tour des Flandres Juniors (1.1) ,120,55,,1994
29.05,2,,National Championships Belgium MJ - Road Race (NC) ,132,30,,1994
