date,result ranking,race name,distance
2000-02-07,109,Trofeo Andratx-Mirador d'Es Colomer (1.1) ,147.0
2000-09-03,27,Grote Prijs Jef Scherens - Leuven (1.3) ,190.0
2000-08-26,70,Stage 6 - Blerick › Landgraaf ,227.6
2000-08-25,95,Stage 5 - Harderwijk › Venlo ,186.2
2000-08-24,94,Stage 4 (ITT) - Leeuwarden › Leeuwarden ,19.8
2000-08-24,101,Stage 3 - Bolsward › Leeuwarden ,91.0
2000-08-23,103,Stage 2 - Utrecht › Hoorn ,185.5
2000-08-22,105,Stage 1 - Den Bosch › Utrecht ,180.7
2000-08-21,101,Prologue - Den Bosch › Den Bosch ,4.0
2000-08-20,5,Dwars door Gendringen (1.4) ,197.4
2000-05-24,DNF,Stage 4 - Buchten › Buchten ,185.0
2000-05-23,70,Stage 3 - Rockanje › Ossendrecht ,163.0
2000-05-22,103,Stage 2 - Tilburg › Rockanje ,189.0
2000-05-21,79,Stage 1 - Tilburg › Tilburg ,150.0
2000-05-20,54,Stage 10 - Karlovy Vary › Prague ,171.0
2000-05-20,47,Prologue - Tilburg › Tilburg ,6.0
2000-05-19,34,Stage 9 - Most › Karlovy Vary ,184.0
2000-05-18,6,Stage 8 - Trutnov › Usti nad Labem ,230.0
2000-05-17,11,Stage 7 - Kłodzko › Kudowa-Zdroj ,179.0
2000-05-16,46,Stage 6 - Luban › Kudowa-Zdroj ,191.0
2000-05-15,74,Stage 5 - Riesa › Zgorzelec ,170.0
2000-05-14,58,Stage 4 (ITT) - Halle › Leipzig ,37.2
2000-05-13,50,Stage 3 - Wernigerode › Halle ,118.0
2000-05-12,6,Stage 2 - Wolfsburg › Wernigerode ,167.0
2000-05-11,81,Stage 1 - Hannover › Hannover ,177.0
2000-05-01,34,Rund um den Henninger Turm (1.1) ,206.0
2000-04-29,21,Rund um den Flughafen Köln-Bonn (1.4) ,197.0
2000-04-24,73,Rund um Köln () ,197.7
2000-04-09,51,Ronde van Noord-Holland (1.4) ,202.0
2000-04-08,5,Hel van het Mergelland (1.5) ,181.0
2000-03-25,53,E3-Prijs Harelbeke (1.1) ,209.0
2000-03-22,48,Dwars door Vlaanderen (1.2) ,206.0
2000-03-15,76,Nokere Koerse (1.4) ,193.7
2000-02-08,119,Trofeo Cala: Cala Millor - Son Servera (1.1) ,159.0
2000-02-07,109,Trofeo Andratx-Mirador d'Es Colomer (1.1) ,147.0
1999-06-27,9,National Championships Netherlands - Road Race (NC) ,226.0
